organization,space,filename,title,summary,category,page_number
Media_Digital,presentations,65.pdf,Сравнение стоимости кликов на популярных рекламных платформах,"Исследование кликабельности рекламных платформ и их стоимости проводилось с использованием сервиса Click.ru. Оно включает анализ CPC (стоимость клика) на различных платформах, таких как Яндекс Директ, VK Ads, VK, MyTarget и Avito each, с учетом различных бизнес-сфер и географических регионов. Инструмент «Пульс Click.ru» позволяет анализировать динамику по рекламным системам, тематикам и географии, предоставляя данные о CPC, CTR, CPA и среднем чеке.",Телекоммуникации,0
Media_Digital,presentations,16.pdf,SOCIAL MEDIA TRENDS 2024,"The document discusses the evolution of social media trends in 2024, emphasizing a shift towards a culture-first approach for brands. It highlights the decentralization of culture enabled by social media, the importance of brands understanding and embracing cultural nuances, and the challenges faced by social platforms such as attention scarcity and AI disruption. The report identifies 10 sub-trends contributing to this cultural shift and discusses the transition from social 2.0 to social 3.0, where content is more focused on entertainment and information rather than paid distribution.",Технологии и электроника,0
Media_Digital,presentations,59.pdf,Reuters Institute Digital News Report 2024,"The Reuters Institute Digital News Report 2024 examines the evolving digital news landscape, focusing on changes in how news is consumed and shared across various platforms. It highlights the diminishing role of traditional social media like Facebook and X, while emphasizing the growing importance of visual and video-led platforms such as TikTok, Instagram, and YouTube. The report also discusses the challenges faced by publishers in maintaining public trust and engagement, and the impact of generative artificial intelligence on the news ecosystem.",Телекоммуникации,0
Media_Digital,presentations,14.pdf,Первые шаги к общему будущему в фармацевтической экосистеме,"Документ описывает ключевые аспекты цифрового маркетинга в фармацевтической отрасли, включая площадки присутствия в интернете, интерес к препаратам и МКБ-10, а также стандарты отчетности и каналы коммуникации. Он также рассматривает будущие тенденции, такие как единая база данных для всех участников экосистемы, привязка врачей к единому ID и обмен данными.",Фармацевтика и здравоохранение,0
Media_Digital,presentations,15.pdf,Анонс новых смартфонов от компании XYZ,Компания XYZ анонсировала три новых смартфона с улучшенными камерами и более мощными процессорами. Новые модели доступны в различных цветах и будут продаваться в магазинах и онлайн.,Технологии и электроника,0
Media_Digital,presentations,29.pdf,Тренды потребления контента в ВКонтакте,"Исследование трендов потребления контента в ВКонтакте показывает, что пользователи предпочитают видеоформаты, особенно короткие вертикальные ролики, которые помогают им расслабиться и отвлечься. Другие популярные форматы включают фотографии и музыку, а также историй. Пользователи активно взаимодействуют с контентом, подписываясь на авторов, делая отметки «Нравится» и переходя по ссылкам.",Телекоммуникации,0
Media_Digital,presentations,10.pdf,No text extracted from the first three pages,The document fragment indicates that no text was extracted from the first three pages.,Технологии и электроника,0
Media_Digital,presentations,38.pdf,Нет извлеченного текста,Из первых трех страниц не удалось извлечь никакой текст.,Технологии и электроника,0
Media_Digital,presentations,28.pdf,Методы исследования,"Документ описывает три метода исследования: кабинетное исследование, юзабилити-тестирование с пользователями и анализ качественных данных.",Технологии и электроника,0
Media_Digital,presentations,39.pdf,Рейтинг мобильных агентств по выручке за 2023 год,"Рейтинг мобильных агентств показывает, что рынок мобильных агентств в 2023 году вырос на 57% по сравнению с 2022 годом, достигнув 22,5 млрд рублей против 14,3 млрд рублей. Крупные e-commerce игроки стали основным драйвером роста, вкладывая значительные средства в развитие и продвижение мобильных приложений. Лидеры по выручке включают Go Mobile, Rocket 10 и Visible, которые занимают 42% рынка. Несмотря на рост выручки, только треть агентств показала рост чистой прибыли, с наиболее значительным ростом у T op Traffic (512%) и Go Mobile (329%).",Телекоммуникации,0
Media_Digital,presentations,11.pdf,Ген Z и их выражение в виртуальных пространствах,"Отчет 2023 года исследует, как Ген Z выражают себя в виртуальных пространствах, особенно через аватары и цифровую моду. Отмечается, что для многих пользователей цифровое выражение важнее, чем физическое. Виртуальная мода влияет на повседневные решения и самооценку, а также на физический стиль. Многие Ген Z готовы тратить деньги на цифровую одежду, и их стиль в реальном мире часто вдохновлен аватарами.",Фармацевтика и здравоохранение,0
Media_Digital,presentations,13.pdf,No text extracted from the first three pages,The document fragment indicates that no text was extracted from the first three pages.,Технологии и электроника,0
Media_Digital,presentations,12.pdf,Исследование эффективности спецпроектов,"Исследование эффективности спецпроектов, проведенное Tiburon Research и RealwebCreative, показывает растущую роль спецпроектов в рекламе. Исследование включает сравнение спецпроектов с классической рекламой и анализ различных форматов спецпроектов, таких как игры и подборщики. Основные вопросы исследования включают определение целевой аудитории, преимущества спецпроектов и способы их реализации.",Телекоммуникации,0
Media_Digital,presentations,35.pdf,Аудитория социальных медиа,"Аудитория интернета в России составляет 103 млн человек, что составляет 85% населения. Средний россиянин проводит 4.5 часа в день в интернете. Крупнейшие интернет-активности включают социальные сети, блоги, видеоресурсы и мессенджеры. YouTube, ВКонтакте, Telegram, TikTok и Дзен занимают значительную долю времени пользователей, с охватом от 70% до 66% населения.",Телекоммуникации,0
Media_Digital,presentations,31.pdf,Аудитория социальных платформ и медиаконтентных сервисов VK,"Документ содержит данные о пользовательской аудитории крупнейших социальных платформ и медиаконтентных сервисов VK за 4 квартал 2023 года. ВКонтакте имеет MAU 87,7 млн, Дзен — DAU 35 млн, VK Клипы — просмотры 1,2 млрд, VK Музыка — MAU 43 млн, VK Видео — просмотры 2,3 млрд, VK Play — MAU 16,4 млн, RuStore — MAU 32,3 млн. Также указан рост VK Tech в 4 квартале 2023 года.",Телекоммуникации,0
Media_Digital,presentations,23.pdf,Мобильная игровая индустрия в 2023 году: смешанная картина,"В 2023 году расходы на мобильные игры снизились на 2% до 107,3 миллиарда долларов, несмотря на успех консольных игр, таких как Monopoly GO и EA SPORTS FC, а также неожиданных хитов, таких как Gacha Life 2 и Eggy Party. Мобильный рынок игр сталкивается с уменьшением количества новых релизов, при этом устоявшиеся игры лидируют по доходам и имеют более длительные жизненные циклы. Предпочтения игроков зависят от возраста и пола, а также от эволюции жанров, таких как гиперкасул и стратегии, которые преуспевают в монетизации. Китайские издатели продолжают продвигаться на международные рынки, включая Японию, благодаря локализованному контенту и качеству.",Телекоммуникации,0
Media_Digital,presentations,34.pdf,Прогнозы и тенденции в игровой индустрии на 2024 год,"Отчет Newzoo описывает ключевые тенденции в игровой индустрии на 2024 год, включая восстановление рынка, замедление роста многокомпонентных подписок, возвращение к разработке премиум-игр, рост мобильных разработчиков в ПК-гейминге, запуск новых консолей и игр, использование генеративного ИИ для ускорения производства игр и тенденции в области открытых мировых игр.",Технологии и электроника,0
Media_Digital,presentations,21.pdf,Развитие Рунета до 2023 года,"Документ описывает развитие российского сегмента интернет-экономики с 2011 по 2023 год. Включает данные о росте интернет-экономики, вкладе в общую экономику России, а также анализ сегментов, таких как инфраструктура, маркетинг и реклама, электронная коммерция и цифровой контент. Прогнозируется дальнейший рост интернет-экономики в 2023 году.",Телекоммуникации,0
Media_Digital,presentations,37.pdf,Итоги 2 квартала 2024 года для МКПАО «Яндекс»,"Презентация МКПАО «Яндекс» содержит итоги 2 квартала 2024 года, включая выручку, скорректированную EBITDA, ключевые бизнес-сегменты и прогнозы на будущее. В документе также упоминается реструктуризация бизнеса и изменения в акционерном капитале компании.",Технологии и электроника,0
Media_Digital,presentations,22.pdf,Обзор состояния игровой индустрии 2024 года,"Доклад 2024 года по состоянию игровой индустрии показывает, что за последний год индустрия столкнулась с закрытием студий, увольнениями разработчиков и технологическими изменениями. В отчете обсуждаются вопросы, связанные с социальными медиа, обязательными политиками возврата в офис, усилением профсоюзов и влиянием генеративного ИИ. Основное внимание уделяется опыту разработчиков и их отношению к различным аспектам работы.",Технологии и электроника,0
Media_Digital,presentations,36.pdf,Аудитория социальных медиа,"Аудитория интернета в России составляет 103 млн человек, что составляет 85% населения. Средний россиянин проводит 4.5 часа в день в интернете. Крупнейшие интернет-активности включают социальные сети, блоги, видеоресурсы и мессенджеры. YouTube, ВКонтакте и Telegram лидируют по охвату и времени использования.",Телекоммуникации,0
Media_Digital,presentations,33.pdf,2024 Online Media Year Ahead,"The document discusses the outlook for the online media sector in 2024, highlighting expected growth driven by macroeconomic improvements, AI advancements, and short-form video monetization. It also mentions risks such as platform changes, competition, and regulatory uncertainties. The report prefers Meta and Pinterest for large and small-cap investments, respectively.",Телекоммуникации,0
Media_Digital,presentations,68.pdf,Обзор трендов и прогнозов развития геймдева в Москве,"Документ представляет собой исследование развития видеоигровой индустрии в Москве, основанное на данных из открытых источников и экспертных интервью. Исследование включает анализ доли геймеров в Москве, портрет геймера, предпочтения геймеров разных возрастных и социальных аудиторий, влияние социально-экономических барьеров, а также отношение родителей к увлечению детей видеоиграми.",Технологии и электроника,0
Media_Digital,presentations,25.pdf,Глобальный обзор цифрового использования в мире,"Документ представляет собой обзор цифрового использования в различных странах мира на основе данных от различных источников, включая статистику о цифровом использовании, социальных сетях и других цифровых платформах. Включает важные примечания о сравнении данных и предупреждения о потенциальных несоответствиях между данными.",Телекоммуникации,0
Media_Digital,presentations,32.pdf,Генеративный ИИ меняет медиа-ландшафт,"Документ обсуждает тенденции в медиа-индустрии на 2024 год, акцентируя внимание на росте и использовании генеративного ИИ. Генеративный ИИ рассматривается как наиболее разрушительный технологический прорыв последних десяти лет, способный трансформировать поисковые запросы, креативность и производство рекламы. В 2024 году ожидается усиление конкуренции между технологическими платформами, которые будут стремиться к лучшей монетизации своих услуг в условиях более жестких экономических условий.",Технологии и электроника,0
Media_Digital,presentations,19.pdf,Прогноз рынка мобильных приложений до 2030 года,"Документ содержит прогноз развития рынка мобильных приложений до 2030 года, включая оценку глобального потребительского расхода, загрузок и времени, проведенного на устройствах. Ожидается, что к 2030 году глобальный потребительский расход достигнет 288 миллиардов долларов, а загрузки превысят 7 триллионов. Прогноз также учитывает влияние изменений в приватности, регулятивных ограничений и макроэкономических факторов на рост рынка.",Технологии и электроника,0
Media_Digital,presentations,27.pdf,Возможности продвижения в Telegram,"Документ описывает возможности продвижения в Telegram, включая рекламу у авторов каналов, Telegram Ads, чат-боты и инфлюенсер-маркетинг. Он подчеркивает рост популярности Telegram как рекламной платформы, указывает на различные инструменты и форматы для продвижения, а также дает рекомендации по использованию этих инструментов.",Телекоммуникации,0
Media_Digital,presentations,26.pdf,Social Media Trends 2024: Focus on ROI and AI,"In 2024, social media marketers are prioritizing performance and ROI, focusing on top-performing tactics and boosting efficiency with AI. The report highlights trends such as the rise of generative AI, the importance of ROI, and the strategic use of platforms. It is based on surveys and analyses of social media practices and consumer behavior.",Телекоммуникации,0
Media_Digital,presentations,30.pdf,Интернет-ресурсы для фармацевтов,"Документ описывает исследования и ресурсы, используемые фармацевтами. Компания, основанная в 2004 году, проводит маркетинговые исследования в фармацевтической отрасли, включая онлайн-панель врачей и фармацевтов, а также быстрые онлайн-опросы (ToM Express). Основное внимание уделяется оценке использования интернет-ресурсов и социальных сетей фармацевтами и врачами.",Фармацевтика и здравоохранение,0
Media_Digital,presentations,24.pdf,Исследование состояния и перспектив социальных сетей/онлайн-платформ,"Исследование, проведенное Исследовательским Центром АКАР / АРИР / РАМУ, охватывает 19 отечественных и зарубежных социальных сетей/онлайн-платформ. Основные результаты показывают, что социальные сети становятся важным источником информации и коммуникации, с общим количеством пользователей в России около 115 миллионов человек. В исследовании также отмечается спад активности в зарубежных социальных сетях и увеличение использования социальных сетей среди старших возрастных групп.",Телекоммуникации,0
Media_Digital,presentations,18.pdf,Reinventing Media Companies for Growth,"The media industry faces significant challenges due to dwindling financial returns, tech giants' encroachment, and a fragmented digital market. Traditional media companies need to undertake radical reinvention to survive and thrive. The document outlines the need for bold strategic moves and explores three archetypes for reinvention: audience aggregators, audience cultivators, and content merchants. It emphasizes the importance of systemic transformation and moving beyond core competencies.",Телекоммуникации,0
Media_Digital,presentations,4.pdf,Инфлюенс-маркетинг в сфере недвижимости в 2024 году,"Документ обсуждает общие тенденции инфлюенс-маркетинга, его применение в сфере недвижимости и будущие тренды. В 2024 году рынок инфлюенс-маркетинга ожидается на уровне 24 миллиардов долларов, что в 14 раз больше, чем в 2016 году. Большинство брендов считают инфлюенс-маркетинг эффективным и планируют увеличить бюджеты на него. В сфере недвижимости инфлюенс-маркетинг помогает взаимодействию между девелоперами, инфлюенсерами и покупателями через социальные сети. Тренды включают использование нано и микро инфлюенсеров, видео- и виртуальные реальности, а также устойчивость.",Строительство и недвижимость,0
Media_Digital,presentations,41.pdf,No text extracted from the first three pages,The document fragment indicates that no text was extracted from the first three pages.,Технологии и электроника,0
Media_Digital,presentations,55.pdf,Gaming Spotlight H1 2024 Review,"The document reviews the mobile gaming market trends for the first half of 2024, highlighting challenges such as rising acquisition costs and economic uncertainty. It emphasizes the importance of innovative features, live operations, and effective monetization strategies to maintain user engagement and revenue growth. Key trends include the growth of mobile gaming spending, driven by successful titles and new launches, and the increasing contribution of emerging markets to overall growth.",Технологии и электроника,0
Media_Digital,presentations,69.pdf,The State of Gaming 2024: Mobile Gaming Market Trends,"The report provides a detailed analysis of the mobile gaming market trends in 2023, highlighting a decline in downloads and revenue. Key trends include a 10% decline in downloads and a 2% decline in revenue, with notable drops in genres like Simulation, Action, and Arcade. However, Puzzle and Tabletop genres performed relatively well due to effective live operations and brand recognition. The report also discusses the impact of rising user acquisition costs and the transition from the pandemic era to a new market phase.",Технологии и электроника,0
Media_Digital,presentations,57.pdf,Overview of UK Online Use and Sectors,"The document provides an overview of UK online use, including average daily internet usage, access to the internet, and the most visited sites and apps. It highlights that UK adults spent an average of 3 hours and 41 minutes online per day in May 2023, with Alphabet and Meta sites and apps being the most visited. The report also covers various online sectors such as search, generative AI, social media, dating services, gaming, and education, detailing usage statistics and trends.",Телекоммуникации,0
Media_Digital,presentations,7.pdf,Digital Ad Spending Trends and Predictions for 2024,"The US digital ad market is experiencing a period of modest growth after years of rapid expansion. Key trends include the decline of third-party cookies, the rise of AI in advertising, and the shift towards ad-supported streaming services. Predictions for 2024 include continued growth in digital ad spending, the phasing out of traditional TV measurement systems, and the increasing adoption of ad-supported tiers by major streaming services.",Телекоммуникации,0
Media_Digital,presentations,43.pdf,Глобальный рынок игр в 2024 году,"Доклад о глобальном рынке игр в 2024 году обсуждает ключевые тенденции и изменения в индустрии. Основные темы включают рост рынка ПК-игр, влияние кросс-платформенных выпусков, изменения в мобильных приложениях и платформах, управление сообществами и ранний доступ, будущее игр с микротранзакциями (F2P), состояние независимых и средних игр, использование генеративного ИИ и пользовательского контента. Также анализируется влияние виртуальной реальности, стратегии скидок на платформе Steam и роль интеллектуальной собственности в индустрии.",Технологии и электроника,0
Media_Digital,presentations,5.pdf,Newzoo’s Global Gamer Study 2024,"The Newzoo’s Global Gamer Study 2024 highlights that gaming remains a significant part of the media and entertainment landscape. Key findings include 85% of consumers engaging with games in various ways, with Gen Alpha and Gen Z being the most active. PC and console gamers tend to spend more on gaming than mobile gamers, with a notable interest in pay-to-play games. Despite declining playtime, there is still a strong demand for new gaming experiences.",Технологии и электроника,0
Media_Digital,presentations,6.pdf,Исследование состояния и перспектив социальных сетей/онлайн-платформ,"Исследование, проведенное Исследовательским Центром АКАР / АРИР / РАМУ, охватывает 19 отечественных и зарубежных социальных сетей/онлайн-платформ. Основные результаты показывают, что социальные сети становятся важным источником информации для пользователей, особенно в России, где почти 80% населения использует социальные сети. Также отмечается спад активности на зарубежных платформах и увеличение использования социальных сетей среди старших возрастных групп.",Телекоммуникации,0
Media_Digital,presentations,56.pdf,Гейминг как массовый интерес молодежи,"Гейминг является массовым интересом для молодежи, включающим множество жанров и наименований игр. В России насчитывается более 20 миллионов геймеров, из которых около 800 тысяч активно участвуют в гейминг-индустрии. Геймеры представляют собой экономически активную группу, но их сложно однозначно классифицировать.",Технологии и электроника,0
Media_Digital,presentations,54.pdf,2024 INFLUENCER TRENDS,"The document discusses the growing importance of the Creator Economy in 2024, highlighting that over 50 million creators worldwide are actively creating content, with only 4% fully utilizing their potential. Brands are encouraged to explore new opportunities in sectors like sport and sustainability, and to leverage employee advocacy for commercial growth. The document also emphasizes the role of influencers in driving brand awareness and commercial growth, moving from a nice-to-have component to an essential tool.",Технологии и электроника,0
Media_Digital,presentations,40.pdf,Годовой отчет VK за 2023 год,"Годовой отчет VK за 2023 год включает в себя информацию о компании, ее миссии, ключевых цифрах и событиях. VK - крупнейшая российская технологическая компания, предоставляющая цифровые продукты для пользователей. В отчете указаны финансовые показатели, такие как выручка и нерекламная выручка, а также операционные показатели, включая среднюю дневную аудиторию и время, проведенное пользователями в сервисах VK. Отчет также включает в себя информацию о ключевых корпоративных событиях 2023 года, включая консолидацию долей в различных компаниях и платформах.",Технологии и электроника,0
Media_Digital,presentations,42.pdf,Обновление прогнозов глобальной музыкальной индустрии,"Документ обновляет прогнозы глобальной музыкальной индустрии, увеличивая ожидаемый среднегодовой темп роста на 7,6% за период 2024-2030 годов. Основные изменения включают модернизацию модели выплат за стриминг, развитие премиальных планов для суперфанов и использование генеративного ИИ для монетизации музыкального контента. Прогнозы учитывают рост подписок в развивающихся рынках и улучшение монетизации платных подписок.",Финансовые услуги,0
Media_Digital,presentations,0.pdf,Светлана Подлегаева – COO MediaDesk: Технологии и искусственный интеллект в digital-рекламе,"Светлана Подлегаева, COO компании MediaDesk, обсуждает развитие технологий и искусственного интеллекта в digital-рекламе. Компания MediaDesk специализируется на автоматизированной закупке и управлении brandformance-кампаниями, используя собственные технологические разработки. MediaDesk является независимым игроком на рынке digital-рекламы с 2019 года и входит в ТОП-5 every 5 технологических компаний по версии AdIndex. Компания демонстрирует рост на 30% ежегодно при неизменной численности штата.",Технологии и электроника,0
Media_Digital,presentations,47.pdf,Использование интернета и электронной коммерции в России,"Данные исследования показывают, что в России в среднем каждый житель проводит около 23 минут в день на электронных коммерческих ресурсах. Большинство россиян (79%) заходят на такие ресурсы хотя бы раз в месяц, а 47% делают это ежедневно. Исследование также включает структуру времени использования интернета по различным тематикам, включая социальные сети, видео, игры и мессенджеры.",Телекоммуникации,0
Media_Digital,presentations,46.pdf,Российские тренды в рекламе на 2024 год,"Документ обсуждает актуальные тренды в российской рекламе на 2024 год, включая иронизацию над псевдонаучными советами и психологией, а также акцент на том, чтобы быть навигатором, а не советчиком для аудитории. Также подчеркивается важность критического подхода к псевдонаучным методам и умения различать истинную пользу от информационного шума.",Телекоммуникации,0
Media_Digital,presentations,52.pdf,"Web3 shakes down, machine learning powers up","The document discusses the emerging technologies and trends in the sports industry for 2024, focusing on Web3, machine learning, and AI. It highlights the uncertainty around Web3 technologies and the blockchain, while emphasizing the immediate impact of machine learning on content creation, customer service, and predictive analytics. The report also mentions the potential for AI to enhance immersive experiences and the gradual transformation of the sports industry through technological advancements.",Технологии и электроника,0
Media_Digital,presentations,51.pdf,Social Media Trends for 2024,"The document discusses key trends in social media for 2024, emphasizing the importance of social media as a marketing channel. It highlights challenges such as cost-efficient content production and the need for brands to stand out. The integration of AI technology is expected to enhance speed, accuracy, and cost-efficiency. Additionally, the document explores the rise of TikTok, the changing dynamics on Instagram, the untapped potential of Boomers, and the shift towards more entertaining and value-driven content.",Телекоммуникации,0
Media_Digital,presentations,53.pdf,The Sprout Social Index™: Edition XIX:02,"The Sprout Social Index™ edition highlights the growing importance of social media in consumer engagement and business impact. It reveals that consumers are actively seeking branded content and exclusive deals, and brands are increasingly valued for transparency and responsiveness. The survey of over 1,800 consumers and 900 marketers across the US and UK emphasizes the need for authentic, non-promotional content and educational materials. Brands are also encouraged to prioritize customer engagement over trendy content.",Технологии и электроника,0
Media_Digital,presentations,1.pdf,Развитие новых коммуникационных интернет-технологий в 2023 году,"Эксперты «Ростелекома» провели аналитическое исследование, охватывающее основные события в сфере потребительских коммуникационных сервисов в 2023 году. В исследовании отмечены тенденции роста аудитории социальных сетей, использование подписной модели монетизации, увеличение числа интернет-пользователей, развитие онлайн-кинотеатров и игровых сервисов, а также использование технологий искусственного интеллекта для генерации и адаптации контента.",Телекоммуникации,0
Media_Digital,presentations,2.pdf,SOCIAL MEDIA TRENDS REPORT 2024,"The report highlights key social media trends for 2024, emphasizing the importance of authenticity in content creation and engagement. It includes insights from industry experts who stress the significance of sharing real stories, engaging in meaningful conversations, and showcasing the human side of brands to build emotional connections with audiences. The report also predicts a shift towards user-generated content (UGC) over high-production content, driven by Generation Z's preference for genuine and honest online experiences.",Телекоммуникации,0
Media_Digital,presentations,45.pdf,Отчет по аудитории Telegram,"Отчет по данным Mediascope показывает, что Telegram остается на четвертом месте среди российских интернет-ресурсов по объему дневной аудитории. 47% населения заходят в Telegram в средний день, 68% - хотя бы раз в месяц. Площадка наращивает показатели, особенно среди молодежи (12-24 лет). Telegram совмещает функции мессенджера и социальной сети, где пользователи активно читают каналы, преимущественно информационно-политического характера. В молодой группе пользователей также популярны развлекательные каналы.",Телекоммуникации,0
Media_Digital,presentations,3.pdf,The State of PC and Console Gaming in 2024,"The PC and console gaming market generated $93.5 billion in 2023 with a modest growth of 2.6% YoY. Playtime has decreased by 26% since Q1 2021, and market consolidation has led to fewer titles capturing more player engagement and revenue. Despite challenges, opportunities exist in emerging markets and through innovative gameplay and storytelling strategies.",Технологии и электроника,0
Media_Digital,presentations,50.pdf,Глобальные тенденции социальных медиа 2023,"В 2023 году социальные медиа становятся все более важными для бизнес-роста. Исследование показывает, что строительство активного онлайн-сообщества стало критически важным для маркетологов. В этом году бренды планируют более активно использовать социальные медиа и подходы, основанные на доверии и прозрачности, для построения сообществ и увеличения вовлеченности.",Технологии и электроника,0
Media_Digital,presentations,44.pdf,Тенденции Web 3.0 для 2024,"Доклад 'Топ 24 тенденций для 2024' анализирует ключевые аспекты Web 3.0, включая децентрализацию, блокчейн-технологии и усиление акцента на пользовательских правах и приватности данных. Доклад охватывает бизнес-развитие, технологические инновации, вопросы управления, стратегии внедрения и глобальные тенденции, подчеркивая необходимость адаптации для бизнеса и индивидуумов к этим трансформационным изменениям.",Технологии и электроника,0
